acousticness,danceability,energy,instrumentalness,key,loudness,mode,speechiness,valence,target
9.19E-06,0.325,0.918,0.000288,2,-4.823,1,0.071,0.184,1
0.0613,0.931,0.415,0,7,-8.491,1,0.293,0.614,1
0.0682,0.557,0.608,0.0263,5,-7.657,0,0.0862,0.211,1
0.0235,0.847,0.713,0,6,-3.89,0,0.241,0.338,1
0.769,0.808,0.593,2.07E-06,1,-9.395,1,0.344,0.88,1
0.00594,0.58,0.859,0.00163,0,-4.532,1,0.0649,0.285,1
0.00255,0.855,0.898,2.95E-05,7,-3.863,1,0.061,0.525,1
0.000901,0.769,0.792,0,7,-4.086,1,0.111,0.323,1
0.17,0.43,0.436,0,8,-4.816,1,0.119,0.22,1
0.0192,0.619,0.734,0.263,5,-9.366,0,0.0343,0.853,1
0.0039,0.567,0.876,0,9,-4.573,0,0.0376,0.697,1
0.00431,0.808,0.916,0.598,10,-4.54,1,0.0635,0.69,1
0.245,0.623,0.65,0.000913,10,-7.953,1,0.0274,0.884,1
0.0134,0.405,0.647,7.62E-05,5,-6.109,0,0.0482,0.204,1
0.0129,0.401,0.661,7.72E-05,5,-6.111,0,0.0462,0.173,1
0.00212,0.777,0.739,0.868,9,-9.089,1,0.039,0.201,1
0.0211,0.697,0.905,0.893,6,-7.787,0,0.0339,0.311,1
0.028,0.658,0.568,0.00356,1,-7.579,1,0.0312,0.881,1
0.087,0.529,0.571,6.34E-06,6,-6.264,0,0.0298,0.104,1
0.0637,0.742,0.912,0,6,-1.188,0,0.13,0.562,1
0.233,0.789,0.659,0.00049,4,-12.654,0,0.0429,0.842,1
0.539,0.689,0.83,0,8,-8.774,1,0.0954,0.822,1
0.049,0.594,0.77,0.9,0,-7.082,1,0.0629,0.14,1
0.0102,0.833,0.434,0.0219,2,-8.795,1,0.431,0.286,1
0.0344,0.838,0.412,0.000234,2,-7.148,1,0.289,0.173,1
0.185,0.704,0.431,0.0972,8,-7.893,1,0.131,0.349,1
0.0796,0.868,0.627,0,1,-4.843,0,0.116,0.314,1
0.218,0.793,0.607,4.95E-06,4,-6.488,0,0.0821,0.16,1
0.374,0.772,0.612,2.44E-06,7,-7.274,0,0.254,0.557,1
0.0638,0.7,0.84,0.112,7,-6.227,0,0.0292,0.745,1
0.0696,0.512,0.821,0.33,9,-7.442,0,0.0334,0.396,1
0.000373,0.472,0.855,0.93,0,-6.937,1,0.069,0.166,1
0.00855,0.293,0.792,0.0111,7,-3.747,1,0.0363,0.696,1
0.0573,0.639,0.749,0.0294,1,-5.916,0,0.0468,0.553,1
0.0801,0.417,0.944,0.00141,9,-5.192,1,0.0459,0.376,1
0.0115,0.82,0.616,0.445,4,-8.427,0,0.0361,0.972,1
0.201,0.696,0.852,0.00125,4,-4.281,0,0.0373,0.971,1
0.716,0.685,0.423,0.518,11,-9.031,0,0.0475,0.649,1
0.723,0.688,0.421,0.625,11,-9.015,0,0.0445,0.63,1
